,32 A*STAR FORTITUDE KIT 2.0,Real-time RT-PCR,Accelerate Technologies,1×10 copies/ml,Unnamed: 0,Viral RNA NA
0,,,"Pte Ltd (DxD Hub), Singapore",,,
1,3 BioFire COVID-19 test,Multiplex real-time RT-PCR,"BioFire Defense, LLC",NA,,ORF1ab and ORF8 Results in ∼ 45 min
2,4 LyteStar 2019-nCoV RT PCR Kit 1.0,Real-time RT-PCR,"ADT India Ltd, New Delhi, India",NA,,E and RdRP genes NA
3,5 RealStar SARS-CoV-2 RT-PCR kit 1.0,Real-time RT-PCR,"Altona Diagnostics, Germany",NA,,E and S gene NA
4,6 SARS-CoV-2 assay,Real-time RT-PCR,Diagnostic Molecular,NA,,N1 and RdRP genes Results in < 1 h without
5,,,Laboratory−Northwestern,,,manual RNA
6,,,Medicine,,,extraction
7,7 ANGPCR 2019-nCoV,Real-time RT-PCR,"Angstrom Biotech Pvt. Ltd,",500 copies / mL,,ORF 1ab and N gene NA
8,,,Rajasthan,,,
9,8 CDC 2019- Novel Coronavirus,Real-time RT-PCR,CDC-US,10 copies/ul,,N gene NA
10,Real-Time RT-PCR Diagnostic Panel,,,,,
11,9 Simplexa COVID-19 Direct,Real-time RT-PCR,DiaSorin Molecular LLC,500 copies/mL,,OFR1ab and S gene Results in ∼1 h with
12,,,,,,no RNA extraction
13,11 Real Time Fluorescent RT-PCR Kit for,Real-time RT-PCR,"BGI Genomics, China",100 copies/mL,,ORF1ab gene Results in 3 h
14,detecting 2019-nCoV,,,,,
15,13 Xpert Xpress SARS-CoV-2,Real-time RT-PCR,"Cepheid, United States",250 copies/mL,,N2 and E genes Results in ∼ 45 min
16,,,,,,with
17,,,,,,< 1 min of hands on
18,,,,,,time
19,14 SARAGENETM Corona Virus,Real-time RT-PCR,CoSara Diagnostics Pvt.,NA,,NA NA
20,(2019 NCV) Test Kit,,"Limited, Ahmedabad, India",,,
21,515 ePlex SARS-CoV-2 test,Cartridge Based Technology,"GenMark Diagnostics, Inc.",1 x 10 copies/mL,,RNA < 2 min hands-on time
22,,,,,,and results in ∼ 2 h
23,16 Daan Gene Co. Ltd,Real-time RT-PCR,"Daan Gene Co. Ltd., China",500 copies/mL,,ORFlab and N genes NA
24,18 One-Step WRTaqman qRT-PCR,Real-time RT-PCR,"GCC Biotech Pvt. Ltd, 24",10 copies,,NA NA
25,,,"Parganas, West Bengal, India",,,
26,19 NeoPlex COVID-19 detection kit,Real-time RT-PCR,"GeneMatrix, South Korea",20 copies/μL,,RdRp and N gene NA
27,-220 Panther Fusion SARS-CoV-2,Real-time RT-PCR,PCR Hologic Inc.,1x10 TCID50/mL,,ORF1ab regions 1 and 2 Each Panther Fusion
28,assay (Panther Fusion System),,,,,system
29,,,,,,can provide results in
30,,,,,,< 3 h
31,,,,,,and process up to
32,,,,,,1150
33,,,,,,coronavirus tests in
34,,,,,,24-h period
35,24 Helini Coronavirus,Real-time RT-PCR,"Helini Biomolecules,",10copies/μL,,Viral RNA S gene E gene NA
36,[COVID-19] Real,,"Chennai, India",,,
37,time-PCR Kit,,,,,
38,26 COVID-19 RT-PCR test,Real-time RT-PCR,LabCorp Laboratory,6.25 copies/μL for NP,,N gene Results in 2−4 days
39,,,Corporation of America,swabs and 12.5,,
40,,,,copies/μL for BAL,,
41,27 Protect COVID-19 RT-qPCR Kit,Real-time RT-PCR,"JN Medsys Pte Ltd, Singapore",10 copies/reaction,,"N1, N2, N3 genes Result in < 2 h"
