,CUI ET AL.,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,|,1061
0,TABLE 1 Characteristics of included studies,,,,,,,,
1,,,Case,,,,Study,Total,
2,Author,Journal,number (N),Male (n),Female (n),Study location,design,score,
3,59Bialek et al,MMWR Morb Mortal Wkly Rep,2490,1408,1082,America,Case series,6,
4,2Dong et al,Pediatrics,2143,1213,930,China,Case series,7,
5,13Ma et al,Chin J Contemp Pediatr,115,73,42,Wuhan,Case series,6,
6,14Wang et al,Chin J Pediatr,34,14,20,Shenzhen,Case series,5,
7,15Wang et al,Chin J Pediatr,31,NA,NA,Six provinces in north,Case series,7,
8,,,,,,China,,,
9,16Cai et al,Clin Infect Dis,10,4,6,Shanghai,Case report,4,
10,17Feng et al,Chin J Pediatr,15,5,10,Shenzhen,Case report,7,
11,18Su et al,Emerg Microbes Infect,9,3,6,Jinan,Case report,7,
12,19Zhou et al,Chin J Contemp Pediatr,9,4,5,Shenzhen,Case report,6,
13,20Wei et al,JAMA,9,2,7,Wuhan,Case report,5,
14,21Liu et al,NEJM,6,2,4,Wuhan,Case report,7,
15,22Cai et al,Chin J Pediatr,1,1,0,Shanghai,Case report,3,
16,23Zhang et al,Chin J Pediatr,1,0,1,Hubei,Case report,3,
17,24Ji et al,World J Pediatr,2,2,0,Zhejiang,Case report,4,
18,25Zhang et al,Chin J Contemp Pediatr,2,0,2,Hunan,Case report,3,
19,26Wang et al,Chin J Contemp Pediatr,1,1,0,Wuhan,Case report,5,
20,27Zhao et al,Zhejiang Medicine,1,1,0,Zhejiang,Case report,4,
21,28Zeng et al,Chin J Pediatr,1,1,0,Wuhan,Case report,4,
22,29Zhang et al,J Med Virol,3,3,0,Tianjin,Case report,4,
23,30Zeng et al,JAMA Pediatrics,3,3,0,Wuhan,Case report,7,
24,31Kam et al,Clin Infect Dis,1,1,0,Singapore,Case report,4,
25,32Wu et al,Pediatrics,74,44,30,Shandong,Case series,6,
26,33Xing et al,J Mircobiol Immunol Infect,3,2,1,Shandong,Case report,6,
27,34Park et al,J Korean Med Sci,1,0,1,Korea,Case report,3,
28,35Xia et al,Pediatr Pulmonol,20,13,7,Wuhan,Case series,5,
29,36Tagarro et al,JAMA Pediatr,41,18,23,Spain,Case series,6,
30,37Zhu et al,Pediatr Pulmonol,10,5,5,Suzhou,Case report,6,
31,38Qiu et al,Lancet Infect Dis,36,23,13,Zhejiang,Cohort,7,
32,,,,,,,study,,
33,39Yu et al,Pre‐print,82,51,31,Wuhan,Case series,6,
34,40liu et al,Chin J Nosocomiol,91,56,35,Wuhan,Case series,7,
35,41Ma et al,BMC Med,50,28,22,Wuhan,Cohort,7,
36,,,,,,,study,,
37,42Wang et al,Pre‐print,74,38,36,Wuhan,Case series,7,
38,43Li et al,Radiol Practice,30,18,12,Wuhan,Case series,6,
39,44Lu et al,Pediatr Infect Dis J,110,59,51,Wuhan,Cohort,8,
40,,,,,,,study,,
41,45Tang et al,Pre‐print,26,17,9,Shenzhen,Case series,7,
42,46Zheng et al,Curr Med Sci,25,14,11,Wuhan,Case series,8,
