,|,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,CUI ET AL.
0,TABLE 1 (Continued),,,,,,,
1,,,Case,,,,Study,Total
2,Author,Journal,number (N),Male (n),Female (n),Study location,design,score
3,47Shen et al,Pediatr Pulmonol,9,3,6,Huna,Case report,6
4,48Sun et al,World J Pediatr,8,6,2,Wuhan,Case report,5
5,49Golnar et al,J Pediatr Rev,9,6,3,Iranian,Case report,4
6,50Liu et al,J Infect,4,2,2,Wuhan,Case report,7
7,51Wu et al,Chin J Contemp Pediatr,23,9,14,Jiangxi,Case series,8
8,52Tan et al,Chin J Contemp Pediatr,13,4,9,Changsha,Case report,6
9,53Yang et al,Journal of Shandong University,10,3,7,Shandong,Case report,6
10,,(Health Sciences),,,,,,
11,54Zhang et al,Journal of Shandong University,10,3,7,Shandong,Case report,6
12,,(Health Sciences),,,,,,
13,55Xu et al,Nat Med,10,6,4,Guangzhou,Case report,6
14,56Zhang et al,World Latest Medicine Information,1,0,1,Yunnan,Case report,6
15,57Chen et al,Chin J Pediatr,1,1,0,Wuhan,Case report,4
16,58Lu et al,NEJM,171,104,67,Wuhan,Case series,6
