,CUI ET AL.,Unnamed: 0,Unnamed: 1,| 1063,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,TABLE 2 Comparison of meta‐analysis results among different ages patients with COVID‐19,,,,,,,,
1,60Present study Present study,Rodriguez‐Morales AJ 4,,,Michael C Grant,,,,
2,<1 y 0‐18 y,>18 y,,,>16 y,,,,
3,No. No. Prevalence No. No. Prevalence,No. No.,,,No. No.,,Prevalence,,
4,2Study reports patients (%) I2 (%) reports patients (%),I 2 (%) reports patients Prevalence (%),,,I 2 (%) reports patients,,(%),I,(%)
5,Male 11 27 46 (22‐66) 33.7 36 5838 55 (53‐58),33.4 22 2874 55.9 (51.6‐60.1),,,66.1 NA NA,,NA,NA,
6,Asymptomatic 11 433 6 (5‐13) 24.3 42 3287 20 (14‐26),91.4 NA NA NA,,,NA NA NA,,NA,NA,
7,Mild 10 395 54 (49‐59) 0 42 3048 33 (23‐43),95.6 NA NA NA,,,NA NA NA,,NA,NA,
8,Moderate 10 395 36 (27‐45) 4 40 3046 51 (42‐61),93.4 NA NA NA,,,NA NA NA,,NA,NA,
9,Severe 12 499 7 (4‐11) 34.3 41 3775 7 (4‐11),90.2 NA NA NA,,,NA NA NA,,NA,NA,
10,Critical 11 404 14 (13‐34) 37.3 42 3121 5 (2‐9),87.5 NA NA NA,,,NA NA NA,,NA,NA,
11,Death 0 0 NA NA 42 5684 0 (0‐0),94.9 7 632 13.9 (6.2‐21.5),,,91.4 NA NA,,NA,NA,
12,Fever 11 24 53 (30‐76) 0 48 1494 51 (45‐57),78.9 13 735 92.8 (89.4‐96.2),,,82.4 138 21701,,78 (75‐81),94,
13,Cough 9 19 30 (2‐58) 0 45 1435 41 (35‐47),81 13 735 63.4 (48.0‐78.8),,,97.1 138 21682,,57 (54‐60),94,
14,Sore throat 7 10 NA NA 38 1040 16 (7‐25),91.6 5 308 11 (2.8‐19.2),,,85.4 78 11721,,12 (10‐14),88,
15,Tachycardia 5 7 NA NA 35 950 12 (3‐21),93.9 NA NA NA,,,NA NA NA,,NA,NA,
16,Rhinorrhea 8 17 21 (5‐43) 0 36 990 14 (8‐19),75.4 NA NA NA,,,NA 36 10656,,8 (5‐12),97,
17,Nasal congestion 6 9 50 (20‐99) 0 33 623 17 (6‐27),87.2 NA NA NA,,,NA 10 2584,,5 (3‐7),78,
18,Tachypnea 6 10 33 (20‐57) 0 29 1034 9 (4‐14),87.4 NA NA NA,,,NA NA NA,,NA,NA,
19,Diarrhea 7 10 NA NA 42 1250 8 (6‐11),47 6 457 6.1 (2.4‐9.7),,,62.1 93 11707,,10 (8‐12),93,
20,Vomiting 7 12 33 (18‐67) 0 42 1238 7 (5‐10),50.4 NA NA NA,,,NA 26 4959,,4 (2‐8),94,
21,Myalgia or 6 9 NA NA 42 1253 12 (7‐17),77.7 11 446 29.4 (19.8‐39.0),,,80.7 78 13385,,31 (27‐35),95,
22,Fatigue,,,,,,,,
23,Hypoxemia 5 7 NA NA 33 623 3 (1‐4),0 8 656 45.6 (10.9‐80.4),,,99.5 NA NA,,NA,NA,
24,Chest pain 5 7 NA NA 34 673 3 (0‐5),0 NA NA NA,,,NA 30 3510,,7 (4‐10),92,
25,Leukocytosis NA NA NA NA 38 907 10 (7‐14),63.1 7 487 16.8 (5.5‐28.0),,,93.1 NA NA,,NA,NA,
26,Leukopenia NA NA NA NA 42 978 19 (14‐25),80.9 8 517 18.7 (8.5‐28.8),,,94.5 NA NA,,NA,NA,
27,Lymphopenia 5 9 33 (24‐47) 0 39 795 16 (11‐21),76.9 8 511 43.1 (18.9‐67.3),,,98 NA NA,,NA,NA,
28,High PCT 7 10 NA NA 29 709 36 (21‐51),97.0 NA NA NA,,,NA NA NA,,NA,NA,
29,High CRP 9 15 42 (6‐78) 0 32 651 19 (13‐26),79.3 6 332 58.3 (21.8‐94.7),,,98.9 NA NA,,NA,NA,
30,High LDH 4 7 50 (15‐69) 0 24 301 29 (20‐39),69.8 5 341 57.0 (38.0‐76.0),,,92.6 NA NA,,NA,NA,
