,|,Unnamed: 0,Unnamed: 1,Unnamed: 2,CUI ET AL.,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,TABLE 2 (Continued),,,,,,,,
1,60Present study,Present study,Rodriguez‐Morales AJ 4,,Michael C Grant,,,,
2,<1 y,0‐18 y,>18 y,,>16 y,,,,
3,No.,No. Prevalence No. No.,Prevalence No. No.,,No. No.,,Prevalence,,
4,2Study reports,patients (%) I 2 (%) reports patients,(%) I 2 (%) reports patients Prevalence (%),,I 2 (%) reports patients,,(%),I,(%)
5,High ALT 7,25 47 (25‐69) 0 32 686,11 (7‐15) 38.5 2 128 24.1 (13.5‐34.6),,42.8 NA NA,,NA,NA,
6,High AST 7,14 33 (20‐67) 0 28 529,18 (13‐23) 48.6 3 169 33.3 (26.3‐40.4),,0 NA NA,,NA,NA,
7,High Creatinine 5,20 NA NA NA NA,NA NA 3 169 4.5 (1.0‐8.0),,10.2 NA NA,,NA,NA,
8,High Blood urea 4,18 NA NA NA NA,NA NA NA NA NA,,NA NA NA,,NA,NA,
9,nitrogen,,,,,,,,
10,High CK 2,3 NA NA 17 109,9 (1‐17) 33.2 2 140 21.3 (3.2‐39.4),,81.4 NA NA,,NA,NA,
11,High CK‐MB 4,21 88 (71‐94) 8.5 23 228,37 (25‐48) 59.0 NA NA NA,,NA NA NA,,NA,NA,
12,High D‐dimer 4,5 NA NA 24 194,11 (8‐14) 0 NA NA NA,,NA NA NA,,NA,NA,
13,Normal Imaging 8,13 42 (6‐78) 0 38 902,41 (30‐52) 93.4 NA NA NA,,NA NA NA,,NA,NA,
14,Ground‐glass 8,14 50 (20‐80) 0 39 898,36 (25‐47) 92.9 10 584 68.5 (51.8‐85.2),,99.1 NA NA,,NA,NA,
15,opacity,,,,,,,,
16,Local patchy 7,11 42 (6‐78) 0 35 928,26 (21‐32) 58.2 7 316 25 (5.2‐44.8),,96.4 NA NA,,NA,NA,
17,shadow,,,,,,,,
18,Bilateral patchy 7,11 40 (13‐55) 0 34 814,28 (21‐35) 73.8 7 508 70.7 (50.4‐91.0),,98.7 NA NA,,NA,NA,
19,shadow,,,,,,,,
20,White lung NA,NA NA NA 32 653,2 (0‐4) 0 NA NA NA,,NA NA NA,,NA,NA,
21,change,,,,,,,,
22,Pleural effusion NA,NA NA NA 35 769,2 (0‐3) 0 NA NA NA,,NA NA NA,,NA,NA,
